,position,name,varlab,probe,ps_text,box_flag,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7
0,9694,k5a1a,A1A. How often PCG knows what you do during your free time,"A1.          First, Ihave some questions about your relationship with {{NAME OF BIO MOM}{, your mom}}/{{NAME OF BIO DAD}{, your dad}}/{{NAME OF GRANDPARENT}{, your  grandparent}/{{NAMEOF OTHER NON-PARENT PCG}.","Know  what you do during your free time? Would you say that this statement is never  true, sometimes true, often true, or always true?",1,,"Know   what you do during your free time? Would you say that this statement is never   true, sometimes true, often true, or always true?",,,,,,,,,,,,,,
1,9695,k5a1b,A1B. How often PCG knows which friends you hang out with during free time,"A1.          First, Ihave some questions about your relationship with {{NAME OF BIO MOM}{, your mom}}/{{NAME OF BIO DAD}{, your dad}}/{{NAME OF GRANDPARENT}{, your  grandparent}/{{NAMEOF OTHER NON-PARENT PCG}.",Know  which friends you hang out with during your free time?,1,,Know   which friends you hang out with during your free time?,,,,,,,,,,,,,,
2,9696,k5a1c,A1C. How often PCG asks about things that happened when you are not with her/him,"A1.          First, Ihave some questions about your relationship with {{NAME OF BIO MOM}{, your mom}}/{{NAME OF BIO DAD}{, your dad}}/{{NAME OF GRANDPARENT}{, your  grandparent}/{{NAMEOF OTHER NON-PARENT PCG}.",Ask  you about things that happened when you are not with (her/him)?,1,,,,,,,,,,,,,,,,
3,9697,k5a1d,A1D. How often PCG makes you tell where you are going and with whom,"A1.          First, Ihave some questions about your relationship with {{NAME OF BIO MOM}{, your mom}}/{{NAME OF BIO DAD}{, your dad}}/{{NAME OF GRANDPARENT}{, your  grandparent}/{{NAMEOF OTHER NON-PARENT PCG}.",Make  you tell (her/him) where you are going and with whom before you go out?,1,,Make   you tell (her/him) where you are going and with whom before you go out?,,,,,,,,,,,,,,
4,9698,k5a1e,A1E. How often PCG knows what you spend money on,"A1.          First, Ihave some questions about your relationship with {{NAME OF BIO MOM}{, your mom}}/{{NAME OF BIO DAD}{, your dad}}/{{NAME OF GRANDPARENT}{, your  grandparent}/{{NAMEOF OTHER NON-PARENT PCG}.",Know  what you spend money on?,1,,Know   what you spend money on?,,,,,,,,,,,,,,
5,9699,k5a2a,A2A. Your mom talks over important decisions with you,"A2.      {Now, I have some questions that are just about {NAME OF BIO MOTHER},your mom.}","Talk  over important decisions with you? Would you say that this statement is never  true, sometimes true, often true, or always true?",1,,"Talk   over important decisions with you? Would you say that this statement is never   true, sometimes true, often true, or always true?",,,,,,,,,,,,,,
6,9700,k5a2b,A2B. Your mom listens to your side of an argument,"A2.      {Now, I have some questions that are just about {NAME OF BIO MOTHER},your mom.}",Listen  to your side of an argument?,1,,Listen   to your side of an argument?,,,,,,,,,,,,,,
7,9701,k5a2c,A2C. Your mom spends enough time with you,"A2.      {Now, I have some questions that are just about {NAME OF BIO MOTHER},your mom.}",Spend  enough time with you?,1,,Spend   enough time with you?,,,,,,,,,,,,,,
8,9702,k5a2d,A2D. Your mom misses events or activities that are important to you,"A2.      {Now, I have some questions that are just about {NAME OF BIO MOTHER},your mom.}",Miss  events or activities that are important to you?,1,,Miss   events or activities that are important to you?,,,,,,,,,,,,,,
9,9703,k5a2e,A2E. How close you feel to your mom,"A2.      {Now, I have some questions that are just about {NAME OF BIO MOTHER},your mom.}",A2E.     Howclose do you feel to your mom?  Would you say…,0,1,"Extremely close,",2,"Quite close,",3,"Fairly close, or,",4,Not very close?,-1,REFUSED,-2,DON’T KNOW,,,,
10,9704,k5a2f,A2F. How well you and your mom share ideas or talk about things that matter,"A2.      {Now, I have some questions that are just about {NAME OF BIO MOTHER},your mom.}",A2F.     How well doyou and your mom share ideas or talk about things that really matter?  Wouldyou say…,0,1,"Extremely well,",3,"Fairly well, or,",4,Not very well?,-1,REFUSED,-2,DON’T KNOW,,,,,,
11,9705,k5a3a,A3A. Your dad talks over important decisions with you,"A3.       {Now, I havesome questions that are just about {NAME OF BIO FATHER}, your dad/Now, let’srepeat those same questions, but respond about {NAME OF BIO FATHER}, yourdad}.","Talk  over important decisions with you? Would you say that this statement is never  true, sometimes true, often true, or always true?",1,,"Talk   over important decisions with you? Would you say that this statement is never   true, sometimes true, often true, or always true?",,,,,,,,,,,,,,
12,9706,k5a3b,A3B. Your dad listens to your side of an argument,"A3.       {Now, I havesome questions that are just about {NAME OF BIO FATHER}, your dad/Now, let’srepeat those same questions, but respond about {NAME OF BIO FATHER}, yourdad}.",Listen  to your side of an argument?,1,,Listen   to your side of an argument?,,,,,,,,,,,,,,
13,9707,k5a3c,A3C. Your dad spends enough time with you,"A3.       {Now, I havesome questions that are just about {NAME OF BIO FATHER}, your dad/Now, let’srepeat those same questions, but respond about {NAME OF BIO FATHER}, yourdad}.",Spend  enough time with you?,1,,Spend   enough time with you?,,,,,,,,,,,,,,
14,9708,k5a3d,A3D. Your dad misses events or activities that are important to you,"A3.       {Now, I havesome questions that are just about {NAME OF BIO FATHER}, your dad/Now, let’srepeat those same questions, but respond about {NAME OF BIO FATHER}, yourdad}.",Miss  events or activities that are important to you?,1,,Miss   events or activities that are important to you?,,,,,,,,,,,,,,
15,9709,k5a3e,A3E. How close you feel to your dad,"A3.       {Now, I havesome questions that are just about {NAME OF BIO FATHER}, your dad/Now, let’srepeat those same questions, but respond about {NAME OF BIO FATHER}, yourdad}.",A3E.     Howclose do you feel to your dad?  Would you say…,0,1,"Extremely close,",2,"Quite close,",3,"Fairly close, or,",4,Not very close?,-1,REFUSED,-2,DON’T KNOW,,,,
16,9710,k5a3f,A3F. How well you and your dad share ideas or talk about things that matter,"A3.       {Now, I havesome questions that are just about {NAME OF BIO FATHER}, your dad/Now, let’srepeat those same questions, but respond about {NAME OF BIO FATHER}, yourdad}.",A3F.     How well doyou and your dad share ideas or talk about things that really matter?  Wouldyou say…,0,1,"Extremely well,",3,"Fairly well, or,",4,Not very well?,-1,REFUSED,-2,DON’T KNOW,,,,,,
17,9711,k5a4a,A4A. Social dad talks over important decisions with you,"A4.       {Now, I havesome questions that are just about {NAME OF PARTNER}./Finally, let’s repeatthose same questions, but respond about {NAME OF PARTNER}.}","Talk  over important decisions with you? Would you say that this statement is never  true, sometimes true, often true, or always true?",1,,"Talk   over important decisions with you? Would you say that this statement is never   true, sometimes true, often true, or always true?",,,,,,,,,,,,,,
18,9712,k5a4b,A4B. Social dad listens to your side of an argument,"A4.       {Now, I havesome questions that are just about {NAME OF PARTNER}./Finally, let’s repeatthose same questions, but respond about {NAME OF PARTNER}.}",Listen  to your side of an argument?,1,,Listen   to your side of an argument?,,,,,,,,,,,,,,
19,9713,k5a4c,A4C. Social dad spends enough time with you,"A4.       {Now, I havesome questions that are just about {NAME OF PARTNER}./Finally, let’s repeatthose same questions, but respond about {NAME OF PARTNER}.}",Spend  enough time with you?,1,,Spend   enough time with you?,,,,,,,,,,,,,,
20,9714,k5a4d,A4D. Social dad misses events or activities that are important to you,"A4.       {Now, I havesome questions that are just about {NAME OF PARTNER}./Finally, let’s repeatthose same questions, but respond about {NAME OF PARTNER}.}",Miss  events or activities that are important to you?,1,,Miss   events or activities that are important to you?,,,,,,,,,,,,,,
21,9715,k5a4e,A4E. How close you feel to social dad,"A4.       {Now, I havesome questions that are just about {NAME OF PARTNER}./Finally, let’s repeatthose same questions, but respond about {NAME OF PARTNER}.}",A4E.     Howclose do you feel to {NAME OF PARTNER}?  Would you say…,0,1,"Extremely close,",2,"Quite close,",3,"Fairly close, or,",4,Not very close?,-1,REFUSED,-2,DON’T KNOW,,,,
22,9716,k5a4f,A4F. How well you and social dad share ideas or talk about things that matter,"A4.       {Now, I havesome questions that are just about {NAME OF PARTNER}./Finally, let’s repeatthose same questions, but respond about {NAME OF PARTNER}.}",A4F.     How well doyou and {NAME OF PARTNER} share ideas or talk about things that really matter? Wouldyou say…,0,1,"Extremely well,",3,"Fairly well, or,",4,Not very well?,-1,REFUSED,-2,DON’T KNOW,,,,,,
23,9717,k5b1a,B1A. Frequency mom explained why something you did was wrong,"B1.       Childrenoften do things that are wrong or make their parents angry.  We would like toknow what your parent(s) have done when you did something wrong, or made youupset or angry, or when they were angry for other reasons.  I will read a listof things your parent(s) might have done.",Explained why something  you did was wrong? Would you say she did that every day or almost every day;  a few times a week; once or a few times a month; less than once a month or  never?,1,,Explained why something   you did was wrong? Would you say she did that every day or almost every day;   a few times a week; once or a few times a month; less than once a month or   never?,,,,,,,,,,,,,,
24,9718,k5b1b,"B1B. Frequency mom sent you to your room, took away privileges, or grounded you","B1.       Childrenoften do things that are wrong or make their parents angry.  We would like toknow what your parent(s) have done when you did something wrong, or made youupset or angry, or when they were angry for other reasons.  I will read a listof things your parent(s) might have done.","Sent  you to your room, took away privileges or grounded you?",1,,"Sent   you to your room, took away privileges or grounded you?",,,,,,,,,,,,,,
25,9719,k5b1c,"B1C. Frequency mom shouted, yelled, screamed, swore or cursed at you","B1.       Childrenoften do things that are wrong or make their parents angry.  We would like toknow what your parent(s) have done when you did something wrong, or made youupset or angry, or when they were angry for other reasons.  I will read a listof things your parent(s) might have done.","Shouted,  yelled, screamed, swore or cursed at you?",1,,"Shouted,   yelled, screamed, swore or cursed at you?",,,,,,,,,,,,,,
26,9720,k5b1d,B1D. Frequency mom spanked or hit you,"B1.       Childrenoften do things that are wrong or make their parents angry.  We would like toknow what your parent(s) have done when you did something wrong, or made youupset or angry, or when they were angry for other reasons.  I will read a listof things your parent(s) might have done.",Spanked  or hit you?,1,,Spanked   or hit you?,,,,,,,,,,,,,,
27,9721,k5b2a,B2A. Frequency dad explained why something you did was wrong,B2.       Pleasethink about how often your dad did these things in the past year.,Explained why something you did was wrong? Would you say  he did that every day or almost every day; a few times a week; once or a few  times a month; less than once a month or never?,1,………,Explained why something you did was wrong? Would you say   he did that every day or almost every day; a few times a week; once or a few   times a month; less than once a month or never?,,,,,,,,,,,,,,
28,9722,k5b2b,"B2B. Frequency dad sent you to your room, took away privileges, or grounded you",B2.       Pleasethink about how often your dad did these things in the past year.,"Sent  you to your room, took away privileges or grounded you?",1,,"Sent   you to your room, took away privileges or grounded you?",,,,,,,,,,,,,,
29,9723,k5b2c,"B2C. Frequency dad shouted, yelled, screamed, swore or cursed at you",B2.       Pleasethink about how often your dad did these things in the past year.,"Shouted,  yelled, screamed, swore or cursed at you?",1,,"Shouted,   yelled, screamed, swore or cursed at you?",,,,,,,,,,,,,,
30,9724,k5b2d,B2D. Frequency dad spanked or hit you,B2.       Pleasethink about how often your dad did these things in the past year.,Spanked  or hit you?,1,,Spanked   or hit you?,,,,,,,,,,,,,,
31,9725,k5b3a,B3A. Frequency social dad explained why something you did was wrong,B3.       Pleasethink about how often {NAME OF PARTNER} did these things in the past year.,Explained why something you did was wrong?  Would you  say he did that every day or almost every day; a few times a week; a few  times a month; about once a month; less than once a month or never?,1,,,,,,,,,,,,,,,,
32,9726,k5b3b,"B3B. Frequency social dad sent you to your room, took away privileges, or ground",B3.       Pleasethink about how often {NAME OF PARTNER} did these things in the past year.,"Sent  you to your room, took away privileges or grounded you?",1,,"Sent   you to your room, took away privileges or grounded you?",,,,,,,,,,,,,,
33,9727,k5b3c,"B3C. Frequency social dad shouted, yelled, screamed, swore or cursed at you",B3.       Pleasethink about how often {NAME OF PARTNER} did these things in the past year.,"Shouted,  yelled, screamed, swore or cursed at you?",1,,"Shouted,   yelled, screamed, swore or cursed at you?",,,,,,,,,,,,,,
34,9728,k5b3d,B3D. Frequency social dad spanked or hit you,B3.       Pleasethink about how often {NAME OF PARTNER} did these things in the past year.,Spanked  or hit you?,1,,Spanked   or hit you?,,,,,,,,,,,,,,
35,9729,k5c0,C0. You have brothers and/or sisters living with you,C0.       Next we havesome questions about your relationship with your brothers and sisters.  Do youhave any brothers or sisters living with you?,C0.       Next we havesome questions about your relationship with your brothers and sisters.  Do youhave any brothers or sisters living with you?,0,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,
36,9730,k5c1,C1. Frequency you try to make siblings feel better,"C1.       Ifone of your siblings is hurt or upset, how often do you try and make them feelbetter?","C1.       Ifone of your siblings is hurt or upset, how often do you try and make them feelbetter?",0,1,"Never,",2,"Sometimes,",3,"Often, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
37,9731,k5c1a,C1A. Frequency you start fights or are mean to siblings,"C1.       Ifone of your siblings is hurt or upset, how often do you try and make them feelbetter?","C1A.     Brothers andsisters sometimes cause trouble, start fights, or are mean to each other. Howoften would you say that you start fights, cause trouble, or are mean to yoursibling(s)?",0,1,"Never,",2,"Sometimes,",3,"Often, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
38,9732,k5c1b,C1B. Birth mother has other children,"C1.       Ifone of your siblings is hurt or upset, how often do you try and make them feelbetter?",C1B.     Doesyour {birth} mother have any children living here with you or somewhere else?,0,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,
39,9733,k5c2,C2. Frequency you feel mom treats her other children better than she treats you,C2.       Many kidscomplain that their mothers aren’t fair about how they treat them compared tohow their mothers treat their brothers or sisters. How is this for you? Howoften do you feel that your mom treats one of her other children better thanshe treats you?,C2.       Many kidscomplain that their mothers aren’t fair about how they treat them compared tohow their mothers treat their brothers or sisters. How is this for you? Howoften do you feel that your mom treats one of her other children better thanshe treats you?,0,1,"Never,",2,"Sometimes,",3,"Often, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
40,9734,k5c3,C3. Frequency you feel jealous about attention mother gives her other children,C3.       Some childrenfeel jealous or upset at times about the attention or affection their mothergives their brother or sister.  How often do you feel sort of jealous about herattention or affection toward her other child(ren)?,C3.       Some childrenfeel jealous or upset at times about the attention or affection their mothergives their brother or sister.  How often do you feel sort of jealous about herattention or affection toward her other child(ren)?,0,1,"Never,",2,"Sometimes,",3,"Often, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
41,9735,k5c3a,C3A. Biological father has other children,C3.       Some childrenfeel jealous or upset at times about the attention or affection their mothergives their brother or sister.  How often do you feel sort of jealous about herattention or affection toward her other child(ren)?,C3A.     Doesyour {biological} father have any children living here with you or somewhereelse?,0,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,
42,9736,k5c4,C4. Frequency you feel dad treats his other children better than he treats you,C4.       {Many kidscomplain that their fathers aren’t fair about how they treat them compared tohow their fathers treat their brothers or sisters. How is this for you? Howoften do you feel that your dad treats one of his other children better than hetreats you?/How about with your dad?  How often do you think that he treats oneof his other children better than he treats you?},C4.       {Many kidscomplain that their fathers aren’t fair about how they treat them compared tohow their fathers treat their brothers or sisters. How is this for you? Howoften do you feel that your dad treats one of his other children better than hetreats you?/How about with your dad?  How often do you think that he treats oneof his other children better than he treats you?},0,1,"Never,",2,"Sometimes,",3,"Often, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
43,9737,k5c5,C5. Frequency you feel jealous about how dad treats his other children,C5.       Howoften do you feel sort of jealous about how your dad treats his otherchild(ren)?,C5.       Howoften do you feel sort of jealous about how your dad treats his otherchild(ren)?,0,1,"Never,",2,"Sometimes,",3,"Often, or,",4,Always?,-1,REFUSED,-2,DON’T KNOW,,,,
44,9738,k5c5a,C5A. Social dad has any children living with you,C5.       Howoften do you feel sort of jealous about how your dad treats his otherchild(ren)?,C5A.     Does{NAME OF PARTNER} have any children living here with you?,0,1,YES,2,NO,-1,REFUSED,-2,DON’T KNOW,,,,,,,,
