,position,name,varlab,multiple_answers,probe,ps_text,val0,lab0,val1,lab1,val2,lab2,val3,lab3,val4,lab4,val5,lab5,val6,lab6,val7,lab7,val8,lab8,val9,lab9,val10,lab10,val11,lab11,val12,lab12,val13,lab13,val14,lab14,val15,lab15,val16,lab16,val17,lab17
0,451,m1a3,Have you picked up a (name/names) for the (baby/babies) yet?,0,Have you picked out (a name/names) for the (baby/babies) yet?,Have you picked out (a name/names) for the (baby/babies) yet?,1  (GO TO A3A),YES,2  (SKIP TO A4),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
1,452,m1a4,Is respondent married to baby's father?,0,Are you currently married to the father of your new baby?,Are you currently married to the father of your new baby?,1 (GO TO A7),"YES, MARRIED TO FATHER",2 (GO TO A5),"NO, NOT MARRIED TO FATHER",3 (GO TO A8),FATHER UNKNOWN,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
2,453,m1a5,Will the baby (babies) have the father's last name?,0,Will the (baby/babies) have the father’s last name?,Will the (baby/babies) have the father’s last name?,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
3,454,m1a6,Will the father's name be on the birth certificate?,0,Will the father’s name be on the birth certificate?,Will the father’s name be on the birth certificate?,1,YES,2,NO,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
4,455,m1a7,Has BF visited you in the hospital?,0,Has [BABY’S FATHER] visited you in the hospital?,Has [BABY’S FATHER] visited you in the hospital?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
5,456,m1a8,When are you going home?,0,When are you going home?,When are you going home?,1,TODAY,2,TOMORROW,3,AFTER TOMORROW,-2,DON’T KNOW,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
6,457,m1a9,Do you feel ready to go home or would you rather stay longer?,0,Do you feel like you are ready to go home or would you rather stay longer?,Do you feel like you are ready to go home or would you rather stay longer?,1,READY TO GO HOME,2,RATHER STAY LONGER,1 (SKIP TO A12),"YES, MARRIED",2 (GO TO A11),"NO, NOT MARRIED",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
7,458,m1a10,Int chk: Is respondent married to (BF)?,0,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
8,459,m1a11a,Will the baby live with mother?,1,Who will the baby live with?,A11A     MOTHER,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
9,460,m1a11b,Will the baby live with father?,1,Who will the baby live with?,A11B    FATHER,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
10,461,m1a11c,Will baby live with other relatives?,1,Who will the baby live with?,A11C    OTHER ADULT RELATIVES,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
11,462,m1a11d,Will baby live with non-relatives?,1,Who will the baby live with?,A11D    NON-RELATIVES,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
12,463,m1a12,Do you have other biological children?,0,Do you have any other biological children?,Do you have any other biological children?,1 (GO TO A12A),YES,2 (SKIP TO A13),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
13,464,m1a12a,How many other biological children do you have?,1,Do you have any other biological children?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
14,465,m1a13,Did you visit a doctor/other health care professional to check on the pregnancy?,0,"During the time you were pregnant, did you visit a doctor or other health care        professional to check on the pregnancy?","During the time you were pregnant, did you visit a doctor or other health care        professional to check on the pregnancy?",1 (GO TO A13A),YES,2 (SKIP TO A14),NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
15,466,m1a13a,In which month of pregnancy did you 1st see doctor/other health care provider?,1,"During the time you were pregnant, did you visit a doctor or other health care        professional to check on the pregnancy?",,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
16,467,m1a15,How are you paying for the baby's birth?,0,How are you paying for the baby’s birth?,How are you paying for the baby’s birth?,1,Medicaid,2,Private Insurance,3,"Other, not specified",101,OTHER GOVERNMENT ASSISTANCE,102,SELF-PAY,103,UNINSURED/CHARITY,104,COMB. MEDICAID & PRIVATE,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
17,468,m1a16,Who does the baby looks like?,0,Who (does/do) the (baby/babies) look like?,Who (does/do) the (baby/babies) look like?,1,ME,2,BABY’S FATHER,3,RELATIVE OF MINE,4,RELATIVE OF [BABY’S FATHER],5,"OTHER, NOT SPECIFIED",-2,DON’T KNOW,101,BOTH PARENTS,102,THE BABY’S SIBLING(S),103,HIMSELF/HERSELF,104,COMBINATION OF RELATIVES,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
18,469,cm1age,Constructed - Mother's age (years),1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
19,470,cm1bsex,Constructed - Focal baby's gender,1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
20,471,cm1lbw,Constructed - Low Birth Weight?,1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
21,472,cm1numb,Constructed - Number of babies born at current birth,1,,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
22,473,m1b0,Int chk: Is father unknown?,0,INTERVIEWER: IS FATHER UNKNOWN?,INTERVIEWER: IS FATHER UNKNOWN?,1 (SKIP TO SECT. C P. 21),YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
23,474,m1b1a,How many years did you know Baby's Father before you got pregnant?,1,Now I’d like to ask you some questions about your relationship with [BABY’S        FATHER],B1A     WRITE IN YEARS o o                B1B     WRITE IN MONTHSo o,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
24,475,m1b1b,How many months did you know Baby's Father before you got pregnant?,1,Now I’d like to ask you some questions about your relationship with [BABY’S        FATHER],B1A     WRITE IN YEARS o o                B1B     WRITE IN MONTHSo o,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
25,476,m1b2,Int chk: Is respondent married (OFFICIAL MARRIAGE VARIABLE)?,0,INTERVIEWER: IS RESPONDENT MARRIED TO BABY’S FATHER?,INTERVIEWER: IS RESPONDENT MARRIED TO BABY’S FATHER?,1 (SKIP TO B22 ON P. 18),"YES, MARRIED",2,"NO, NOT MARRIED",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
26,477,m1b3,Which statement best describes your current relationship with Baby's Father?,0,Which of the following statements best describes your current relationship with,Which of the following statements best describes your current relationship with,1 (SKIP TO B8 ON P. 10),We are romantically involved  on a steady basis,2 (SKIP TO B8 ON P. 10),We are involved in an on-again and off-again relationship,3,We are just friends,4,We hardly ever talk to each other,5,We never talk to each other,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
27,478,m1b4a,"Why did rom rel end with (BF), Financial Reasons(Don't have work,money)?",1,Why did your romantic relationship with [BABY’S FATHER] end?,"B4A        FINANCIAL REASONS (DON’T HAVE WORK, MONEY)",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
28,479,m1b4b,"Why did rom rel end with (BF), Distance (Don't live in same town)?",1,Why did your romantic relationship with [BABY’S FATHER] end?,B4B        DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
29,480,m1b4c,"Why did rom rel end with (BF), Incarceration ?",1,Why did your romantic relationship with [BABY’S FATHER] end?,B4C        INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
30,481,m1b4d,"Why did rom rel end with (BF), Relationship Reasons ?",1,Why did your romantic relationship with [BABY’S FATHER] end?,"B4D        RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
31,482,m1b4e,"Why did rom rel end with (BF), Drug problem ?",1,Why did your romantic relationship with [BABY’S FATHER] end?,B4E        DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
32,483,m1b4f,"Why did rom rel end with (BF), Violence, Abuse ?",1,Why did your romantic relationship with [BABY’S FATHER] end?,"B4F        VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
33,484,m1b4g,"Why did rom rel end with (BF), Other?",1,Why did your romantic relationship with [BABY’S FATHER] end?,"B4G       OTHER, NOT SPECIFIED",1,YES,2,NO,102,PREGNANCY,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
34,485,m1b5a,"In last mo did you and BF, visit with friends?",1,I’m going to read you some things that couples often do together,Visited with friends?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
35,486,m1b5b,"In last mo did you and BF, go out for entertainment(movie,sports)",1,I’m going to read you some things that couples often do together,"Went out to a movie, sporting event,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
36,487,m1b5c,"In last mo did you and BF, eat out in a restaurant?",1,I’m going to read you some things that couples often do together,Ate out in a restaurant?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
37,488,m1b5d,"In last mo did you and BF, help each other solve a problem?",1,I’m going to read you some things that couples often do together,Helped each other solve a problem?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
38,489,m1b6a,When you and BF tgthr how often did you disagree about money?,1,The following is a list of subjects on which couples often have disagreements,"Money? Would you say it was often,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
39,490,m1b6b,When you and BF tgthr how often did you disagree about spending time?,1,The following is a list of subjects on which couples often have disagreements,Spending time together?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
40,491,m1b6c,When you and BF tgthr how often did you disagree about sex?,1,The following is a list of subjects on which couples often have disagreements,Sex?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
41,492,m1b6d,When you and BF tgthr how often did you disagree about the pregnancy?,1,The following is a list of subjects on which couples often have disagreements,The pregnancy?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
42,493,m1b6e,When you and BF tgthr how often did you disagree about alcoh/drug use?,1,The following is a list of subjects on which couples often have disagreements,Drinking or drug use ?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
43,494,m1b6f,When you and BF tgthr how often did you disagree about being faithful?,1,The following is a list of subjects on which couples often have disagreements,Being faithful?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
44,495,m1b7a,How often BF was fair and willing to compromise?,1,"Thinking about your past relationship with [BABY’S FATHER], how often would you   say that:",He was fair and willing to compromise,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
45,496,m1b7b,How often did BF hit you when he was angry?,1,"Thinking about your past relationship with [BABY’S FATHER], how often would you   say that:",He hit or slapped you when he,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
46,497,m1b7c,How often did BF expressed affection or love to you?,1,"Thinking about your past relationship with [BABY’S FATHER], how often would you   say that:",He expressed affection or love for you?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
47,498,m1b7d,How often did BF criticized you or your ideas?,1,"Thinking about your past relationship with [BABY’S FATHER], how often would you   say that:",He insulted or criticized you or your ideas?,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
48,499,m1b7e,How often did BF encourage you do things that were important to you?,1,"Thinking about your past relationship with [BABY’S FATHER], how often would you   say that:",He encouraged or helped you to do things,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
49,500,m1b8,Are you and BF living together now?,0,Are you and [BABY’S FATHER] living together now?,Are you and [BABY’S FATHER] living together now?,1 (GO TO Q.B10 ON P. 12),YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
50,501,m1b9,Do you and BF have plans to live together or marry in the future?,0,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,1 (GO TO Q.B9B ON P. 11),YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
51,502,m1b9a1,"Reasons no plan to live tgthr, No need to marry?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
52,503,m1b9a2,"Reasons no plan to live tgthr, Timing problem ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9A2    TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
53,504,m1b9a3,"Reason no plan to live tgthr, Financial Reasons ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9A3    FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
54,505,m1b9a4,"Reasons no plan to live tgthr, Distance ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9A4    DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
55,506,m1b9a5,"Reasons no plan to live tgthr, Incarceration ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9A5    INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
56,507,m1b9a6,"Reasons no plan to live tgthr, Housing reasons ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9A6    HOUSING REASONS (NO   PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
57,508,m1b9a7,"Reason  no plan to live tgthr, Relationship reasons ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9A7    RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
58,509,m1b9a8,"Reasons no plan to live tgthr, Drug problem ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9A8    DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
59,510,m1b9a9,"Reasons no plan to live tgthr, Violence, abuse ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9A9    VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
60,511,m1b9a10,"Reasons no plan to live tgthr, Haven't talked about it ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9A10   HAVEN’T TALKED ABOUT IT (NO REASON,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
61,512,m1b9a11,"Reasons no plan to live tgthr, Other specify ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9A11   OTHER, NOT SPECIFIED",1,YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
62,513,m1b9b1,"Reasons aren't living tgthr, No need to marry ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
63,514,m1b9b2,"Reasons aren't living tgthr, Timing problem ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9B2       TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
64,515,m1b9b3,"Reasons aren't living tgthr, Financial Reasons ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9B3       FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
65,516,m1b9b4,"Reasons aren't living tgthr, Distance ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9B4       DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
66,517,m1b9b5,"Reasons aren't living tgthr, Incarceration ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9B5       INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
67,518,m1b9b6,"Reasons aren't living tgthr, Housing reasons ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9B6       HOUSING REASONS (NO   PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
68,519,m1b9b7,"Reasons aren't living tgthr, Relationship reasons ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9B7       RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
69,520,m1b9b8,"Reasons aren't living tgthr, Drug problem ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,B9B8       DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
70,521,m1b9b9,"Reasons aren't living tgthr, Violence, abuse ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9B9       VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
71,522,m1b9b10,"Reasons aren't living tgthr, Haven't talked about it ?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9B10     HAVEN’T TALKED ABOUT IT (NO REASON,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
72,523,m1b9b11,"Reasons aren't living tgthr, Other specify?",1,Do you and [BABY’S FATHER] have plans to live together or marry in the future?,"B9B11     OTHER, NOT SPECIFIED",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
73,524,m1b10,Do you and BF have plans to marry in the future?,0,Do you and [BABY’S FATHER] have plans to marry in the future?,Do you and [BABY’S FATHER] have plans to marry in the future?,1 (SKIP TO B10B),YES,2,NO,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
74,525,m1b10a1,"Reasons no plan to marry, No need to marry ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
75,526,m1b10a2,"Reason no plan to marry, Timing problem ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,"B10A2   TIMING PROBLEM (HAVEN’T SET DATE,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
76,527,m1b10a3,"Reason no plan to marry, Financial reasons ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,"B10A3   FINANCIAL REASONS (DON’T HAVE WORK,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
77,528,m1b10a4,"Reason no plan to marry, Distance ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,B10A4   DISTANCE (DON’T LIVE IN SAME TOWN),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
78,529,m1b10a5,"Reason no plan to marry, Incarceration?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,B10A5   INCARCERATION,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
79,530,m1b10a6,"Reason no plan to marry, Housing reasons ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,B10A6   HOUSING REASONS (NO   PLACE TO LIVE),1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
80,531,m1b10a7,"Reason no plan to marry, Relationship reasons ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,"B10A7   RELATIONSHIP REASONS (DON’T GET ALONG,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
81,532,m1b10a8,"Reason no plan to marry, Drug problem?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,B10A8   DRUG PROBLEM,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
82,533,m1b10a9,"Reason no plan to marry, Violence, abuse?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,"B10A9   VIOLENCE, ABUSE",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
83,534,m1b10a10,"Reason no plan to marry, Haven't talked about it ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,"B10A10 HAVEN’T TALKED ABOUT IT (NO REASON,",1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
84,535,m1b10a11,"Reason no plan to marry, Other specify?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,"B10A11 OTHER, NOT SPECIFIED",1,YES,2,NO,102,LEGAL/RESIDENCY PROBLEMS,1,"LIKE MARRIED, DON’T APPROVE OF MARRIAGE)",nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
85,536,m1b10b1,"Reasons aren't married now, No need to marry ?",1,Do you and [BABY’S FATHER] have plans to marry in the future?,,1,YES,2,NO,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
